PBqas410:1	SS:	
PBqas410:2	S1:	 mister [S8/last] also thank you very much for your presentation and informations to optimize 
PBqas410:3	S8:	 thank you 
PBqas410:4	S1:	 the logistics and the quality both this is a real challenge and everybody who is working on it he knows it so ladies and gentlemen er we are at the end of the presentations of the speeches er erm i have the opinion that the speeches they covered a lot of items but may not maybe not everything so it's now time for you time for the audience to ask the speakers your questions i hope you were able to keep them in mind it will help us a little bit if you ask the question to the speakers and give us the name the speakers or th- or the title of the presentation so our crew of young ladies they are ready with the microphones 
PBqas410:5	SX-m:	 mhm 
PBqas410:6	S1:	 it's your chance now @ up to you 
PBqas410:7	S2:	 thank you i'm mister [S2/last] from [org1] i would like to ask from mister [S3/last] er how what is the effect of soft reduction to the varying of the rolls or the continuous casting machine 
PBqas410:8	S3:	 hh well of course er the erm increased forces that we see er on the soft reduction process also slightly increase the wear of the rolls er specific numbers with regard to how many er tenth of a millimetre per erm million tons or what have you er i cannot answer that specifically because it very much depends on er your width range er which widths you cast er how the widths are distributed erm what is the average speedster so basically on all the casting conditions that er that apply 
PBqas410:9	S1:	 next question please 
PBqas410:10	SX-m:	 too much light here 
PBqas410:11	SX-m:	 erm goes 
PBqas410:12	S4:	 my name is [S4/last] xx from [org2] i've got a question for mister [S5/last] or rather three questions er you mentioned that there're about forty-six thickness changes per week er what i want to know is that means er forty-six er mould changes per week 
PBqas410:13	S5:	 yes mould changes 
PBqas410:14	S4:	 so 
PBqas410:15	S5:	 we we are casting thr- three different thicknesses at the moment and er 
PBqas410:16	S4:	 so you have to keep a good number of mould in spare 
PBqas410:17	S5:	 yah 
PBqas410:18	S4:	 i would like to know what is the kind of life that you get from the segment cylinders 
PBqas410:19	S5:	 er that is something that i er i don't know maybe mister [S2/last] can answer 
PBqas410:20	S2:	 but in fact there are many any- in fact we have no an- any problems on the life of cylinders i cannot say any actual figures but 
PBqas410:21	SX-m:	 what are your x 
PBqas410:22	S2:	 no problems at all when the wearing of the rolls is er from diameter two to three millimetres we take the segment off and then we look at er on the workshop also the cylinders but there are not any special problems 
PBqas410:23	SX-m:	 @@@
PBqas410:24	S4:	 then probably my third question you will be able to answer it er er i wanted to know how do w- do you calibrate these er cylinders do you have to calibrate the segments that to make sure that the position control is working properly 
PBqas410:25	S2:	 yes they must be calibrated yes the segments are calibrated on the workshop so th- when they come to the cast they are ready is just to install and give the erm calibrated figure to the smart se- system 
PBqas410:26	S4:	 but do you have to er xxxx the xxxx pressure to calibrate
PBqas410:27	S2:	 er there are the seams on the workshop between which we drive the segment and the seams are in 
PBqas410:28	SX-m:	 workshop xxx take xx 
