EDwsd302:1	S1:	 er i'm studying english and spanish and my keywords are literature as well foreign students and amsterdam
EDwsd302:2	S15:	 @
EDwsd302:3	SS:	 @@@@
EDwsd302:4	SX-f:	 wow 
EDwsd302:5	SS:	 @@@
EDwsd302:6	S2:	 er my name's [S2] i'm from [place1] i'm studying english french and german literature so i only focus on that @@@ and my interest yah there are in traveling literature and wine
EDwsd302:7	SS:	 @@@@
EDwsd302:8	SX-f:	 xxx 
EDwsd302:9	S3:	 my name is [S3] i'm studying economics at the universite [name1] de [place14] so my three keywords are traveling sports and rock music
EDwsd302:10	SS:	 mhm 
EDwsd302:11	S3:	 hm 
EDwsd302:12	S4:	 thank you
EDwsd302:13	S5:	 okay my name is [S5] er i study english and history erm in [place15] at or english actually at the [name2] university and history at the [name3] university in [place15] and my three keywords are lively communicative and books
EDwsd302:14	SX-f:	 ah @
EDwsd302:15	S6:	 hi my name is [S6] i come from [place2] erm i'm studying er educations or pedagogy er and latvian language 
EDwsd302:16	SX-20:	 she is coming from [place6] 
EDwsd302:17	S18:	 [place2] 
EDwsd302:18	S6:	 as a second language so er my three words are language especially german then er xxism and science 
EDwsd302:19	S4:	 okay xx 
EDwsd302:20	S7:	 hi er my name is er [S7] [S7] er anyway is fine @ er i study political science at the er the masters' program university of [place3] and my keywords are positive er i like to travel i like to party meet other people and have fun
EDwsd302:21	S4:	 okay great to have you here 
EDwsd302:22	S18:	 @
EDwsd302:23	S8:	 morning my name is [S8] erm i'm colleague of [S7] and we both study but we at the same university but we don't know each other from there @
EDwsd302:24	S7:	 it's too bad @@@
EDwsd302:25	S8:	 erm erm yes okay beside of studying i'm also working at the university of [place3] on a project er about recruitment of students with other background than [place16] but they live in in [place16] so er because minorities are not so well represented at the university of [place3] erm three keywords about me i would say positive and smile in the morning and then i get grumpy
EDwsd302:26	SS:	 @@@@
EDwsd302:27	S8:	 x x x xxx @ erm sometimes i can be very x workalcoholic erm and erm other interesting things for me it's languages and identity because i'm born in [place17] but i live in [place16] the last er fifteen years so erm i think it's 
EDwsd302:28	S12:	 hi 
EDwsd302:29	S8:	 it's interesting to 
EDwsd302:30	SS:	 sorry @@
EDwsd302:31	S15:	 no problem 
EDwsd302:32	S4:	 it's all right it's the first day xx 
EDwsd302:33	S15:	 but tomorrow you know where you have 
EDwsd302:34	SX-13:	 people are 
EDwsd302:35	SX-f:	 fine 
EDwsd302:36	SS:	 @@@
EDwsd302:37	S4:	 we were just doing an introduction er round and we asked our xx xx aiming er to make the right xxx about yourself your er 
EDwsd302:38	S15:	 mhm 
EDwsd302:39	S4:	 xx interest er your personality maybe and also your study and er where you come from so erm i think you x x 
EDwsd302:40	S10:	 er good morning my name is [S10] [S10/last] i erm come from [place6] but i'm here with the [place18] delegation er because i'm studying in [place15] erm er i'm studying german language and dutch language so i can communicate in 
EDwsd302:41	SX-15:	 hm 
