POmtg546:1	SX-7:	 will you be at the [org3] meeting next week
POmtg546:2	S1:	 yes
POmtg546:3	S6:	 coffee
POmtg546:4	S1:	 yes please xx okay so we resume our business all sit microphone's working and er 
POmtg546:5	SS:	 @@@@
POmtg546:6	S2:	 @@@
POmtg546:7	S1:	 we how have the [org1] and [org2] networks divided the task between them
POmtg546:8	S3:	 yes we have divided the task between me and [S5] @@@
POmtg546:9	SX-m:	 thank you 
POmtg546:10	S1:	 okay 
POmtg546:11	SX-f:	 hm 
POmtg546:12	S1:	 that's great 
POmtg546:13	S3:	 the task of er general presentation of the aims and means of the networks as well as the burning issues and the issues to come up and er be concluded by the xx next year and to continue later on with the implementation and with the follow-ups i have er it in written form so hh i can read it really slowly and monotonously so you can doze off 
POmtg546:14	SS:	 @@
POmtg546:15	S3:	 or i can talk about it 
POmtg546:16	SX-m:	 @
POmtg546:17	S3:	 wh- whatever you choose erm i'm not very fluent on such presentations so i will help myself with this what i've written and i apologize if some things shall repeat themselves but things keep coming up and rec- repeat themselves in different hh contexts so erm 
POmtg546:18	S4:	 xxxxxxxxxxxxxxx 
POmtg546:19	S3:	 cannot do any harm 
POmtg546:20	S4:	 just turn it no it's the big one cos it makes a lot of noise 
POmtg546:21	S1:	 you normally better turn it off xxx 
POmtg546:22	S3:	 would you like my volume to increase 
POmtg546:23	SS:	 @@@@@@
POmtg546:24	SX-m:	 possibly 
POmtg546:25	S3:	 okay 
POmtg546:26	SX-m:	 possibly @@
POmtg546:27	S4:	 you have to 
POmtg546:28	S4:	 xx 
POmtg546:29	S1:	 xxx 
POmtg546:30	SX-f:	 er 
POmtg546:31	S4:	 what are you doing 
POmtg546:32	SX-m:	 @ @
POmtg546:33	S1:	 oh no i think you turned it on now turn it off now 
POmtg546:34	SX-m:	 yah 
POmtg546:35	S4:	 yah good 
POmtg546:36	S11:	 thank you 
POmtg546:37	S1:	 okay sorry 
POmtg546:38	S3:	 so the [org1] and th- the [org2] networks erm both networks resemble each other so closely as twin brothers they have been cooperating hh so closely for significant number of years and bragging about the years this year is er a celebration of twentieth anniversary of the [org2] and the tenth anniversary of [org1] at [place1] 
POmtg546:39	S1:	 haeh
