LEint551_1:1	okay	RE(RE)	okay
LEint551_1:2	so	DM(DM)	so
LEint551_1:3	erm	UH(UH)	erm
LEint551_1:4	_0	PA(PA)	
LEint551_1:5	we	PP(PP)	we
LEint551_1:6	were	VBD(VBD)	be
LEint551_1:7	on	IN(IN)	on
LEint551_1:8	tour	NN(NN)	tour
LEint551_1:9	last	JJ(JJ)	last
LEint551_1:10	week	NN(NN)	week
LEint551_1:11	_0	PA(PA)	
LEint551_1:12	and	CC(CC)	and
LEint551_1:13	yesterday	RB(RB)	yesterday
LEint551_1:14	we	PP(PP)	we
LEint551_1:15	_0	PA(PA)	
LEint551_1:16	arrived	VVD(VVD)	arrive
LEint551_1:17	here	RB(RB)	here

LEint551_2:1	mhm	RE(RE)	mhm
LEint551_2:2	_0	PA(PA)	
LEint551_2:3	and	CC(CC)	and
LEint551_2:4	which	WDT(WDT)	which
LEint551_2:5	tour	NN(NN)	tour
LEint551_2:6	were	VBD(VBD)	be
LEint551_2:7	you	PP(PP)	you
LEint551_2:8	on	IN(IN)	on
LEint551_2:9	last	JJ(JJ)	last
LEint551_2:10	week	NN(NN)	week

LEint551_3:1	hh	BR(BR)	

LEint551_4:1	er	UH(UH)	er
LEint551_4:2	in	IN(IN)	in
LEint551_4:3	linz	NP(NP)	linz

LEint551_5:1	in	IN(IN)	in
LEint551_5:2	linz	NP(NP)	linz
LEint551_5:3	what	WP(WP)	what
LEint551_5:4	did	VVD(VVD)	do
LEint551_5:5	you	PP(PP)	you
LEint551_5:6	do	VV(VV)	do
LEint551_5:7	in	IN(IN)	in
LEint551_5:8	linz	NP(NP)	linz

LEint551_6:1	yeah	RE(RE)	yeah

LEint551_7:1	er	UH(UH)	er
LEint551_7:2	we	PP(PP)	we
LEint551_7:3	make	V(VVD)	make
LEint551_7:4	er	UH(UH)	er
LEint551_7:5	different	JJ(JJ)	different
LEint551_7:6	activities	NNS(NNS)	activity
LEint551_7:7	_0	PA(PA)	
LEint551_7:8	like	DM(DM)	like
LEint551_7:9	er	UH(UH)	er
LEint551_7:10	sports	NNS(NNS)	sport
LEint551_7:11	_0	PA(PA)	

LEint551_8:1	uhu	RE(RE)	uhu

LEint551_9:1	like	DM(DM)	like
LEint551_9:2	hearts	NNS(NNS)	heart
LEint551_9:3	f_cultures	FW(FW)	
LEint551_9:4	_1	PA(PA)	
LEint551_9:5	er	UH(UH)	er

LEint551_10:1	like	DM(DM)	like
LEint551_10:2	like	DM(DM)	like
LEint551_10:3	what	WP(WP)	what
LEint551_10:4	sorry	FI(FI)	sorry

LEint551_11:1	h-	XX(XX)	
LEint551_11:2	arts	NNS(NNS)	art
LEint551_11:3	arts	NNS(NNS)	art
LEint551_11:4	@@	LA(LA)	
LEint551_11:5	arts	NNS(NNS)	art
LEint551_11:6	@	LA(LA)	
LEint551_11:7	hh	BR(BR)	
LEint551_11:8	_0	PA(PA)	

LEint551_12:1	arts	NNS(NNS)	art

LEint551_13:1	and	CC(CC)	and
LEint551_13:2	er	UH(UH)	er
LEint551_13:3	i	PP(PP)	i
LEint551_13:4	do	VVP(VVP)	do
