PBpan25_1:1	good	FI(FI)	good
PBpan25_1:2	morning	NN(NN)	morning
PBpan25_1:3	ladies	NNS(NNS)	lady
PBpan25_1:4	and	CC(CC)	and
PBpan25_1:5	gentlemen	NNS(NNS)	gentleman
PBpan25_1:6	it	PP(PP)	it
PBpan25_1:7	's	VBS(VBS)	be
PBpan25_1:8	really	RB(RB)	really
PBpan25_1:9	a	DT(DT)	a
PBpan25_1:10	pleasure	NN(NN)	pleasure
PBpan25_1:11	and	CC(CC)	and
PBpan25_1:12	honour	NN(NN)	honour
PBpan25_1:13	_0	PA(PA)	
PBpan25_1:14	for	IN(IN)	for
PBpan25_1:15	me	PP(PP)	i
PBpan25_1:16	_0	PA(PA)	
PBpan25_1:17	to	TO(TO)	to
PBpan25_1:18	er	UH(UH)	er
PBpan25_1:19	to	TO(TO)	to
PBpan25_1:20	chair	VV(VV)	chair
PBpan25_1:21	the	DT(DT)	the
PBpan25_1:22	the	DT(DT)	the
PBpan25_1:23	theme	NN(NN)	theme
PBpan25_1:24	panel	NN(NN)	panel
PBpan25_1:25	this	DT(DT)	this
PBpan25_1:26	morning	NN(NN)	morning
PBpan25_1:27	_1	PA(PA)	

PBpan25_3:1	er	UH(UH)	er
PBpan25_3:2	since	IN(IN)	since
PBpan25_3:3	the	DT(DT)	the
PBpan25_3:4	allocated	JJ(JJ)	allocated
PBpan25_3:5	time	NN(NN)	time
PBpan25_3:6	is	VBZ(VBZ)	be
PBpan25_3:7	relative	JJ(RB)	relative
PBpan25_3:8	limited	JJ(JJ)	limited
PBpan25_3:9	_0	PA(PA)	
PBpan25_3:10	i	PP(PP)	i
PBpan25_3:11	_0	PA(PA)	
PBpan25_3:12	would	MD(MD)	will
PBpan25_3:13	like	VV(VV)	like
PBpan25_3:14	to	TO(TO)	to
PBpan25_3:15	jump	VV(VV)	jump
PBpan25_3:16	in	IN(IN)	in
PBpan25_3:17	the	DT(DT)	the
PBpan25_3:18	middle	NN(NN)	middle
PBpan25_3:19	of	IN(IN)	of
PBpan25_3:20	this	DT(DT)	this
PBpan25_3:21	er	UH(UH)	er
PBpan25_3:22	panel	NN(NN)	panel
PBpan25_3:23	first	RB(RB)	first
PBpan25_3:24	of	IN(IN)	of
PBpan25_3:25	all	DT(DT)	all
PBpan25_3:26	let	VV(VV)	let
PBpan25_3:27	me	PP(PP)	i
PBpan25_3:28	allow	VV(VV)	allow
PBpan25_3:29	to	TO(TO)	to
PBpan25_3:30	introduce	VV(VV)	introduce
PBpan25_3:31	the	DT(DT)	the
PBpan25_3:32	members	NNS(NNS)	member
PBpan25_3:33	of	IN(IN)	of
PBpan25_3:34	the	DT(DT)	the
PBpan25_3:35	panels	NNS(NNS)	panel
PBpan25_3:36	_0	PA(PA)	
PBpan25_3:37	of	IN(IN)	of
PBpan25_3:38	the	DT(DT)	the
PBpan25_3:39	panel	NN(NN)	panel
PBpan25_3:40	er	UH(UH)	er
PBpan25_3:41	in	IN(IN)	in
PBpan25_3:42	the	DT(DT)	the
PBpan25_3:43	sitting	VVG(NN)	sit/sitting
PBpan25_3:44	order	NN(NN)	order
PBpan25_3:45	_0	PA(PA)	
PBpan25_3:46	let	VV(VV)	let
PBpan25_3:47	me	PP(PP)	i
PBpan25_3:48	start	VV(VV)	start
PBpan25_3:49	on	IN(IN)	on
PBpan25_3:50	the	DT(DT)	the
PBpan25_3:51	right	NN(NN)	right
PBpan25_3:52	er	UH(UH)	er
PBpan25_3:53	mister	NN(NN)	mister
PBpan25_3:54	a_[S2]	NP(NP)	
PBpan25_3:55	a_[S2/last]	NP(NP)	
PBpan25_3:56	_0	PA(PA)	
PBpan25_3:57	who	PRE(PRE)	who
PBpan25_3:58	is	VBZ(VBZ)	be
PBpan25_3:59	the	DT(DT)	the
PBpan25_3:60	deputy	NN(NN)	deputy
PBpan25_3:61	governor	NN(NN)	governor
PBpan25_3:62	of	IN(IN)	of
PBpan25_3:63	the	DT(DT)	the
PBpan25_3:64	a_[org1]	NP(NP)	
PBpan25_3:65	of	IN(IN)	of
PBpan25_3:66	a_[place1]	NP(NP)	
PBpan25_3:67	_0	PA(PA)	
PBpan25_3:68	he	PP(PP)	he
PBpan25_3:69	studied	VVD(VVD)	study
PBpan25_3:70	er	UH(UH)	er
PBpan25_3:71	in	IN(IN)	in
PBpan25_3:72	a_[place2]	NP(NP)	
PBpan25_3:73	at	IN(IN)	at
PBpan25_3:74	the	DT(DT)	the
PBpan25_3:75	_0	PA(PA)	
PBpan25_3:76	a_[name7]	NP(NP)	
PBpan25_3:77	university	NN(NN)	university
PBpan25_3:78	_0	PA(PA)	
PBpan25_3:79	then	RB(RB)	then
PBpan25_3:80	he	PP(PP)	he
PBpan25_3:81	took	VVD(VVD)	take
PBpan25_3:82	up	RP(RP)	up
PBpan25_3:83	different	JJ(JJ)	different
PBpan25_3:84	position	NN(NN)/NN(NNS)	position
PBpan25_3:85	in	IN(IN)	in
PBpan25_3:86	the	DT(DT)	the
PBpan25_3:87	banking	VVG(NN)	bank/banking
PBpan25_3:88	system	NN(NN)	system
PBpan25_3:89	_0	PA(PA)	
PBpan25_3:90	of	IN(IN)	of
PBpan25_3:91	hungary	NP(NP)	hungary
PBpan25_3:92	in	IN(IN)	in
PBpan25_3:93	different	JJ(JJ)	different
PBpan25_3:94	er	UH(UH)	er
PBpan25_3:95	state	JJ(JJ)	state
PBpan25_3:96	and	CC(CC)	and
PBpan25_3:97	privately	RB(RB)	privately
PBpan25_3:98	owned	JJ(JJ)	owned
PBpan25_3:99	banks	NNS(NNS)	bank
PBpan25_3:100	_0	PA(PA)	
PBpan25_3:101	whereas	IN(IN)	whereas
PBpan25_3:102	in	IN(IN)	in
PBpan25_3:103	nineteen	CD(CD)	nineteen
PBpan25_3:104	ninety-	XX(XX)	
PBpan25_3:105	er	UH(UH)	er
PBpan25_3:106	-nine	XX(XX)	
PBpan25_3:107	_0	PA(PA)	
PBpan25_3:108	he	PP(PP)	he
PBpan25_3:109	joined	VVD(VVD)	join
PBpan25_3:110	the	DT(DT)	the
PBpan25_3:111	administration	NN(NN)	administration
PBpan25_3:112	as	IN(IN)	as
PBpan25_3:113	deputy	NN(NN)	deputy
PBpan25_3:114	minister	NN(NN)	minister
PBpan25_3:115	of	IN(IN)	of
PBpan25_3:116	finance	NN(NN)	finance
PBpan25_3:117	_0	PA(PA)	
PBpan25_3:118	and	CC(CC)	and
PBpan25_3:119	finally	RB(RB)	finally
PBpan25_3:120	_0	PA(PA)	
PBpan25_3:121	since	IN(IN)	since
PBpan25_3:122	nineteen	CD(CD)	nineteen
PBpan25_3:123	er	UH(UH)	er
PBpan25_3:124	since	IN(IN)	since
PBpan25_3:125	two	CD(CD)	two
PBpan25_3:126	s_o	CD(CD)	s_o
PBpan25_3:127	one	CD(CD)	one
PBpan25_3:128	_0	PA(PA)	
PBpan25_3:129	two	CD(CD)	two
PBpan25_3:130	er	UH(UH)	er
PBpan25_3:131	two	CD(CD)	two
PBpan25_3:132	s_o	CD(CD)	s_o
PBpan25_3:133	one	CD(CD)	one
PBpan25_3:134	_0	PA(PA)	
PBpan25_3:135	he	PP(PP)	he
PBpan25_3:136	is	VBZ(VBZ)	be
PBpan25_3:137	er	UH(UH)	er
PBpan25_3:138	fulfilling	VVG(VVG)	fulfil
PBpan25_3:139	his	PP$(PP$)	he
PBpan25_3:140	current	JJ(JJ)	current
PBpan25_3:141	position	NN(NN)	position
PBpan25_3:142	as	IN(IN)	as
PBpan25_3:143	deputy	NN(NN)	deputy
PBpan25_3:144	governor	NN(NN)	governor
PBpan25_3:145	of	IN(IN)	of
PBpan25_3:146	the	DT(DT)	the
PBpan25_3:147	a_[org1]	NP(NP)	
PBpan25_3:148	of	IN(IN)	of
PBpan25_3:149	a_[place1]	NP(NP)	
PBpan25_3:150	_1	PA(PA)	
PBpan25_3:151	er	UH(UH)	er
PBpan25_3:152	a_[S3]	NP(NP)	
PBpan25_3:153	a_[S3/last]	NP(NP)	
PBpan25_3:154	who	PRE(PRE)	who
PBpan25_3:155	is	VBZ(VBZ)	be
PBpan25_3:156	the	DT(DT)	the
PBpan25_3:157	p_vice-governor	PVC(NN)	
PBpan25_3:158	of	IN(IN)	of
PBpan25_3:159	er	UH(UH)	er
PBpan25_3:160	a_[place4]	NP(NP)	
PBpan25_3:161	er	UH(UH)	er
PBpan25_3:162	_0	PA(PA)	
PBpan25_3:163	he	PP(PP)	he
PBpan25_3:164	studied	VVD(VVD)	study
PBpan25_3:165	er	UH(UH)	er
PBpan25_3:166	in	IN(IN)	in
PBpan25_3:167	a_[place3]	NP(NP)	
PBpan25_3:168	_0	PA(PA)	
PBpan25_3:169	where	WRB(WRB)	where
PBpan25_3:170	he	PP(PP)	he
PBpan25_3:171	got	VVD(VVD)	get
PBpan25_3:172	his	PP$(PP$)	he
PBpan25_3:173	er	UH(UH)	er
PBpan25_3:174	degrees	NNS(NNS)	degree
PBpan25_3:175	er	UH(UH)	er
PBpan25_3:176	in	IN(IN)	in
PBpan25_3:177	nineteen	CD(CD)	nineteen
PBpan25_3:178	eighty	CD(CD)	eighty
PBpan25_3:179	_0	PA(PA)	
PBpan25_3:180	he	PP(PP)	he
PBpan25_3:181	joined	VVD(VVD)	join
PBpan25_3:182	er	UH(UH)	er
PBpan25_3:183	first	RB(RB)	first
PBpan25_3:184	to	IN(IN)	to
PBpan25_3:185	the	DT(DT)	the
PBpan25_3:186	minister	NN(NN)	minister
PBpan25_3:187	of	IN(IN)	of
PBpan25_3:188	finance	NN(NN)	finance
PBpan25_3:189	of	IN(IN)	of
PBpan25_3:190	a_[place4]	NP(NP)	
PBpan25_3:191	_0	PA(PA)	
PBpan25_3:192	then	RB(RB)	then
PBpan25_3:193	er	UH(UH)	er
PBpan25_3:194	he	PP(PP)	he
PBpan25_3:195	moved	VVD(VVD)	move
PBpan25_3:196	to	IN(IN)	to
PBpan25_3:197	the	DT(DT)	the
PBpan25_3:198	a_[org1]	NP(NP)	
PBpan25_3:199	of	IN(IN)	of
PBpan25_3:200	a_[place4]	NP(NP)	
PBpan25_3:201	in	IN(IN)	in
PBpan25_3:202	er	UH(UH)	er
PBpan25_3:203	nineteen	CD(CD)	nineteen
PBpan25_3:204	eighty-five	CD(CD)	eighty-five
PBpan25_3:205	_0	PA(PA)	
PBpan25_3:206	er	UH(UH)	er
PBpan25_3:207	over	RB(RB)	over
PBpan25_3:208	there	RB(RB)	there
PBpan25_3:209	_0	PA(PA)	
PBpan25_3:210	he	PP(PP)	he
PBpan25_3:211	managed	VVD(VVD)	manage
PBpan25_3:212	to	TO(TO)	to
PBpan25_3:213	fulfil	VV(VV)	fulfil
PBpan25_3:214	different	JJ(JJ)	different
PBpan25_3:215	er	UH(UH)	er
PBpan25_3:216	high-ranking	JJ(JJ)	high-ranking
PBpan25_3:217	positions	NNS(NNS)	position
PBpan25_3:218	managerial	JJ(JJ)	managerial
PBpan25_3:219	position	NN(NN)	position
PBpan25_3:220	_0	PA(PA)	
PBpan25_3:221	er	UH(UH)	er
PBpan25_3:222	then	RB(RB)	then
PBpan25_3:223	er	UH(UH)	er
PBpan25_3:224	he	PP(PP)	he
PBpan25_3:225	became	VVD(VVD)	become
PBpan25_3:226	the	DT(DT)	the
PBpan25_3:227	p_vice-governor	PVC(NN)	
PBpan25_3:228	of	IN(IN)	of
PBpan25_3:229	the	DT(DT)	the
PBpan25_3:230	a_[org1]	NP(NP)	
PBpan25_3:231	of	IN(IN)	of
PBpan25_3:232	a_[place4]	NP(NP)	
PBpan25_3:233	_0	PA(PA)	
PBpan25_3:234	some	DT(DT)	some
PBpan25_3:235	seven	CD(CD)	seven
PBpan25_3:236	years	NNS(NNS)	year
PBpan25_3:237	ago	RB(RB)	ago
PBpan25_3:238	_1	PA(PA)	
PBpan25_3:239	er	UH(UH)	er
PBpan25_3:240	a_[S4]	NP(NP)	
