PBsve426_1:1	hello	FI(FI)	hello

PBsve426_2:1	f_gruess	FW(FW)	
PBsve426_2:2	f_gott	FW(FW)	
PBsve426_2:3	_1	PA(PA)	

PBsve426_3:1	er	UH(UH)	er
PBsve426_3:2	i	PP(PP)	i
PBsve426_3:3	want	VVP(VVP)	want
PBsve426_3:4	to	TO(TO)	to
PBsve426_3:5	_0	PA(PA)	
PBsve426_3:6	prolong	VV(VV)	prolong
PBsve426_3:7	to	TO(TO)	to
PBsve426_3:8	stay	VV(VV)	stay
PBsve426_3:9	_3	PA(PA)	
PBsve426_3:10	until	IN(IN)	until
PBsve426_3:11	two	CD(CD)	two
PBsve426_3:12	thousand	CD(CD)	thousand
PBsve426_3:13	six	CD(CD)	six
PBsve426_3:14	_2	PA(PA)	

PBsve426_4:1	until	IN(IN)	until
PBsve426_4:2	the	DT(DT)	the
PBsve426_4:3	end	NN(NN)	end
PBsve426_4:4	of	IN(IN)	of
PBsve426_4:5	june	NP(NP)	june
PBsve426_4:6	or	CC(CC)	or
PBsve426_4:7	until	IN(IN)	until
PBsve426_4:8	the	DT(DT)	the
PBsve426_4:9	end	NN(NN)	end
PBsve426_4:10	of	IN(IN)	of
PBsve426_4:11	december	NP(NP)	december
PBsve426_4:12	two	CD(CD)	two
PBsve426_4:13	thousand	CD(CD)	thousand
PBsve426_4:14	and	CC(CC)	and
PBsve426_4:15	six	CD(CD)	six

PBsve426_5:1	september	NP(NP)	september
PBsve426_5:2	x	UNI(UNI)	
PBsve426_5:3	_1	PA(PA)	

PBsve426_6:1	so	DM(DM)	so
PBsve426_6:2	just	RB(RB)	just
PBsve426_6:3	one	CD(CD)	one
PBsve426_6:4	year	NN(NN)	year

PBsve426_7:1	yes	RE(RE)	yes
PBsve426_7:2	just	RB(RB)	just
PBsve426_7:3	one	CD(CD)	one
PBsve426_7:4	year	NN(NN)	year
PBsve426_7:5	_46	PA(PA)	

PBsve426_8:1	have	VHP(VHP)	have
PBsve426_8:2	you	PP(PP)	you
PBsve426_8:3	paid	VVN(VVN)	pay
PBsve426_8:4	another	DT(DT)	another
PBsve426_8:5	deposit	NN(NN)	deposit
PBsve426_8:6	in	IN(IN)	in
PBsve426_8:7	a_[place1]	NP(NP)	
PBsve426_8:8	_1	PA(PA)	

PBsve426_9:1	erm	UH(UH)	erm
PBsve426_9:2	deposit	NN(NN)	deposit

PBsve426_10:1	mhm	RE(RE)	mhm
PBsve426_10:2	_0	PA(PA)	
PBsve426_10:3	i	PP(PP)	i
PBsve426_10:4	guess	VVP(VVP)	guess
PBsve426_10:5	you	PP(PP)	you
PBsve426_10:6	paid	VVD(VVD)	pay
PBsve426_10:7	another	DT(DT)	another
PBsve426_10:8	one	NN(NN)	one
PBsve426_10:9	in	IN(IN)	in
PBsve426_10:10	a_[place1]	NP(NP)	
PBsve426_10:11	_0	PA(PA)	

PBsve426_11:1	xxx	UNI(UNI)	

PBsve426_12:1	mhm	RE(RE)	mhm

PBsve426_13:1	erm	UH(UH)	erm
PBsve426_13:2	_1	PA(PA)	
PBsve426_13:3	you	PP(PP)	you
PBsve426_13:4	paid	VVD(VVD)	pay
PBsve426_13:5	four	CD(CD)	four
PBsve426_13:6	hundred	CD(CD)	hundred
PBsve426_13:7	euro	NPS(NPS)	euro
PBsve426_13:8	as	IN(IN)	as
PBsve426_13:9	_0	PA(PA)	
PBsve426_13:10	reservation	NN(NN)	reservation
PBsve426_13:11	deposit	NN(NN)	deposit
PBsve426_13:12	to	IN(IN)	to
PBsve426_13:13	our	PP$(PP$)	we
PBsve426_13:14	office	NN(NN)	office
PBsve426_13:15	_0	PA(PA)	

PBsve426_14:1	yes	RE(RE)	yes

PBsve426_15:1	hh	BR(BR)	
PBsve426_15:2	and	CC(CC)	and
PBsve426_15:3	did	VVD(VVD)	do
PBsve426_15:4	you	PP(PP)	you
PBsve426_15:5	pay	VV(VV)	pay
PBsve426_15:6	_0	PA(PA)	
PBsve426_15:7	to	IN(IN)	to
PBsve426_15:8	a_[PLACE1]	NP(NP)	
PBsve426_15:9	another	DT(DT)	another
PBsve426_15:10	deposit	NP(NP)	deposit
PBsve426_15:11	_3	PA(PA)	

PBsve426_16:1	erm	UH(UH)	erm
PBsve426_16:2	_1	PA(PA)	
PBsve426_16:3	two	CD(CD)	two
PBsve426_16:4	thousand	CD(CD)	thousand
PBsve426_16:5	_0	PA(PA)	
PBsve426_16:6	three	CD(CD)	three

PBsve426_17:1	mhm	RE(RE)	mhm
PBsve426_17:2	_0	PA(PA)	

PBsve426_18:1	october	NP(NP)	october
PBsve426_18:2	_0	PA(PA)	
PBsve426_18:3	i	PP(PP)	i
PBsve426_18:4	pay	VVP(VVP)/V(VVD)	pay

PBsve426_19:1	you	PP(PP)	you
PBsve426_19:2	paid	VVD(VVD)	pay
PBsve426_19:3	it	PP(PP)	it
PBsve426_19:4	and	CC(CC)	and
PBsve426_19:5	do	VVP(VVP)	do
PBsve426_19:6	you	PP(PP)	you
PBsve426_19:7	have	VH(VH)	have
PBsve426_19:8	the	DT(DT)	the
PBsve426_19:9	confirmation	NN(NN)	confirmation
PBsve426_19:10	that	IN(IN)	that
PBsve426_19:11	you	PP(PP)	you
PBsve426_19:12	paid	VVD(VVD)	pay
PBsve426_19:13	it	PP(PP)	it
PBsve426_19:14	because	IN(IN)	because
PBsve426_19:15	it	PP(PP)	it
PBsve426_19:16	's	VBS(VBS)	be
PBsve426_19:17	like	IN(IN)	like
PBsve426_19:18	that	DT(DT)	that
PBsve426_19:19	_0	PA(PA)	
PBsve426_19:20	for	IN(IN)	for
PBsve426_19:21	the	DT(DT)	the
PBsve426_19:22	prolongation	NN(NN)	prolongation
PBsve426_19:23	_0	PA(PA)	
PBsve426_19:24	hh	BR(BR)	
PBsve426_19:25	you	PP(PP)	you
PBsve426_19:26	have	VHP(VHP)	have
PBsve426_19:27	to	TO(TO)	to
PBsve426_19:28	pay	VV(VV)	pay
PBsve426_19:29	_0	PA(PA)	
PBsve426_19:30	or-	XX(XX)	
PBsve426_19:31	erm	UH(UH)	erm
PBsve426_19:32	_0	PA(PA)	
PBsve426_19:33	the	DT(DT)	the
PBsve426_19:34	whole	JJ(JJ)	whole
PBsve426_19:35	or	CC(CC)	or
PBsve426_19:36	the	DT(DT)	the
PBsve426_19:37	or	CC(CC)	or
PBsve426_19:38	the	DT(DT)	the
PBsve426_19:39	total	JJ(JJ)	total
PBsve426_19:40	amount	NN(NN)	amount
PBsve426_19:41	of	IN(IN)	of
PBsve426_19:42	the	DT(DT)	the
PBsve426_19:43	administration	NN(NN)	administration
PBsve426_19:44	fee	NN(NN)	fee
PBsve426_19:45	you	PP(PP)	you
PBsve426_19:46	know	VVP(VVP)	know
PBsve426_19:47	you	PP(PP)	you
PBsve426_19:48	have	VHP(VHP)	have
PBsve426_19:49	to	TO(TO)	to
PBsve426_19:50	pay	VV(VV)	pay
PBsve426_19:51	fifteen	CD(CD)	fifteen
PBsve426_19:52	euro	NPS(NPS)	euro
PBsve426_19:53	per	IN(IN)	per
PBsve426_19:54	month	NN(NN)	month
PBsve426_19:55	_1	PA(PA)	
PBsve426_19:56	to	IN(IN)	to
PBsve426_19:57	a_[org1]	NP(NP)	
PBsve426_19:58	_0	PA(PA)	
PBsve426_19:59	hh	BR(BR)	
PBsve426_19:60	and	CC(CC)	and
PBsve426_19:61	normally	RB(RB)	normally
PBsve426_19:62	we	PP(PP)	we
PBsve426_19:63	will	MD(MD)	will
PBsve426_19:64	deduct	VV(VV)	deduct
PBsve426_19:65	this	DT(DT)	this
PBsve426_19:66	amount	NN(NN)	amount
