POprc522_1:1	okay	RE(RE)	okay

POprc522_2:1	well	DM(DM)	well
POprc522_2:2	ladies	NNS(NNS)	lady
POprc522_2:3	and	CC(CC)	and
POprc522_2:4	gentlemen	NNS(NNS)	gentleman
POprc522_2:5	_0	PA(PA)	
POprc522_2:6	when	WRB(WRB)	when
POprc522_2:7	the	DT(DT)	the

POprc522_3:1	call	NN(NN)	call
POprc522_3:2	for	IN(IN)	for
POprc522_3:3	an	DT(DT)	a
POprc522_3:4	er	UH(UH)	er
POprc522_3:5	extraordinary	JJ(JJ)	extraordinary
POprc522_3:6	meeting	VVG(NN)	meet/meeting
POprc522_3:7	of	IN(IN)	of
POprc522_3:8	the	DT(DT)	the
POprc522_3:9	council	NN(NN)	council
POprc522_3:10	last	JJ(JJ)	last
POprc522_3:11	week	NN(NN)	week
POprc522_3:12	er	UH(UH)	er
POprc522_3:13	hh	BR(BR)	
POprc522_3:14	er	UH(UH)	er
POprc522_3:15	_0	PA(PA)	
POprc522_3:16	we	PP(PP)	we
POprc522_3:17	were	VBD(VBD)	be
POprc522_3:18	_0	PA(PA)	
POprc522_3:19	as	IN(IN)	as
POprc522_3:20	yet	RB(RB)	yet
POprc522_3:21	er	UH(UH)	er
POprc522_3:22	_0	PA(PA)	
POprc522_3:23	unsure	JJ(JJ)	unsure
POprc522_3:24	do	VVP(VVP)	do
POprc522_3:25	we	PP(PP)	we
POprc522_3:26	actually	RB(RB)	actually
POprc522_3:27	_0	PA(PA)	
POprc522_3:28	need	VV(VV)	need
POprc522_3:29	er	UH(UH)	er
POprc522_3:30	er	UH(UH)	er
POprc522_3:31	_0	PA(PA)	
POprc522_3:32	to	TO(TO)	to
POprc522_3:33	do	VV(VV)	do
POprc522_3:34	make	VV(VV)	make
POprc522_3:35	any	DT(DT)	any
POprc522_3:36	_0	PA(PA)	
POprc522_3:37	take	VV(VV)	take
POprc522_3:38	any	DT(DT)	any
POprc522_3:39	ne-	XX(XX)	
POprc522_3:40	new	JJ(JJ)	new
POprc522_3:41	decisions	NNS(NNS)	decision
POprc522_3:42	er	UH(UH)	er
POprc522_3:43	_0	PA(PA)	
POprc522_3:44	er	UH(UH)	er
POprc522_3:45	draft	VV(VV)	draft
POprc522_3:46	any	DT(DT)	any
POprc522_3:47	new	JJ(JJ)	new
POprc522_3:48	conclusions	NNS(NNS)	conclusion
POprc522_3:49	but	CC(CC)	but
POprc522_3:50	the	DT(DT)	the
POprc522_3:51	events	NNS(NNS)	event
POprc522_3:52	er	UH(UH)	er
POprc522_3:53	_0	PA(PA)	
POprc522_3:54	in	IN(IN)	in
POprc522_3:55	the	DT(DT)	the
POprc522_3:56	middle	NP(NP)	middle
POprc522_3:57	east	NP(NP)	east
POprc522_3:58	_0	PA(PA)	
POprc522_3:59	particularly	RB(RB)	particularly
POprc522_3:60	during	IN(IN)	during
POprc522_3:61	the	DT(DT)	the
POprc522_3:62	last	JJ(JJ)	last
POprc522_3:63	weekend	NN(NN)	weekend
POprc522_3:64	_0	PA(PA)	
POprc522_3:65	and	CC(CC)	and
POprc522_3:66	er	UH(UH)	er
POprc522_3:67	the	DT(DT)	the
POprc522_3:68	ongoing	JJ(JJ)	ongoing
POprc522_3:69	violence	NN(NN)	violence
POprc522_3:70	_0	PA(PA)	
POprc522_3:71	notwithstanding	IN(IN)	notwithstanding
POprc522_3:72	the	DT(DT)	the
POprc522_3:73	supposed	JJ(JJ)	supposed
POprc522_3:74	er	UH(UH)	er
POprc522_3:75	forty-eighth	JJ(JJ)	forty-eighth
POprc522_3:76	hour	NN(NN)	hour
POprc522_3:77	ceasefire	NN(NN)	ceasefire
POprc522_3:78	which	PRE(PRE)	which
POprc522_3:79	is	VBZ(VBZ)	be
POprc522_3:80	not	RB(RB)	not
POprc522_3:81	a	DT(DT)	a
POprc522_3:82	ceasefire	NN(NN)	ceasefire
POprc522_3:83	_0	PA(PA)	
POprc522_3:84	hh	BR(BR)	
POprc522_3:85	er	UH(UH)	er
POprc522_3:86	_0	PA(PA)	
POprc522_3:87	have	VHP(VHZ)	have
POprc522_3:88	_0	PA(PA)	
POprc522_3:89	er	UH(UH)	er
POprc522_3:90	_0	PA(PA)	
POprc522_3:91	led	VVN(VVN)	lead
POprc522_3:92	to	IN(IN)	to
POprc522_3:93	a	DT(DT)	a
POprc522_3:94	situation	NN(NN)	situation
POprc522_3:95	where	WRB(WRB)	where
POprc522_3:96	it	PP(PP)	it
POprc522_3:97	is	VBZ(VBZ)	be
POprc522_3:98	imperative	NN(NN)	imperative
POprc522_3:99	that	IN(IN)	that
POprc522_3:100	the	DT(DT)	the
POprc522_3:101	european	NP(NP)	european
POprc522_3:102	_0	PA(PA)	
POprc522_3:103	union	NP(NP)	union
POprc522_3:104	_0	PA(PA)	
POprc522_3:105	come	VVP(VVP)	come
POprc522_3:106	out	RB(RB)	out
POprc522_3:107	with	IN(IN)	with
POprc522_3:108	a	DT(DT)	a
POprc522_3:109	_0	PA(PA)	
POprc522_3:110	clear	JJ(JJ)	clear
POprc522_3:111	hh	BR(BR)	
POprc522_3:112	statement	NN(NN)	statement
POprc522_3:113	_0	PA(PA)	
POprc522_3:114	er	UH(UH)	er
POprc522_3:115	on	IN(IN)	on
POprc522_3:116	it	PP(PP)	it
POprc522_3:117	's	VBS(VBS)	be
POprc522_3:118	er	UH(UH)	er
POprc522_3:119	_0	PA(PA)	
POprc522_3:120	policy	NN(NN)	policy
POprc522_3:121	and	CC(CC)	and
POprc522_3:122	_0	PA(PA)	
POprc522_3:123	on	IN(IN)	on
POprc522_3:124	er	UH(UH)	er
POprc522_3:125	_1	PA(PA)	
POprc522_3:126	what	WP(WP)	what
POprc522_3:127	it	PP(PP)	it
POprc522_3:128	aims	VVZ(VVZ)	aim
POprc522_3:129	to	TO(TO)	to
POprc522_3:130	do	VV(VV)	do
POprc522_3:131	_0	PA(PA)	
POprc522_3:132	to	TO(TO)	to
POprc522_3:133	bring	VV(VV)	bring
POprc522_3:134	the	DT(DT)	the
POprc522_3:135	conflict	NN(NN)	conflict
POprc522_3:136	to	IN(IN)	to
POprc522_3:137	an	DT(DT)	a
POprc522_3:138	end	NN(NN)	end
POprc522_3:139	_0	PA(PA)	
POprc522_3:140	and	CC(CC)	and
POprc522_3:141	to	TO(TO)	to
POprc522_3:142	bring	VV(VV)	bring
POprc522_3:143	_0	PA(PA)	
POprc522_3:144	peace	NN(NN)	peace
POprc522_3:145	to	IN(IN)	to
POprc522_3:146	lebanon	NP(NP)	lebanon
POprc522_3:147	_0	PA(PA)	
POprc522_3:148	and	CC(CC)	and
POprc522_3:149	er	UH(UH)	er
POprc522_3:150	er	UH(UH)	er
POprc522_3:151	sustainable	JJ(JJ)	sustainable
POprc522_3:152	peace	NN(NN)	peace
POprc522_3:153	er	UH(UH)	er
POprc522_3:154	hh	BR(BR)	
POprc522_3:155	er	UH(UH)	er
POprc522_3:156	to	IN(IN)	to
POprc522_3:157	the	DT(DT)	the
POprc522_3:158	whole	JJ(JJ)	whole
POprc522_3:159	_0	PA(PA)	
POprc522_3:160	middle	NP(NP)	middle
POprc522_3:161	east	NP(NP)	east
POprc522_3:162	_0	PA(PA)	
POprc522_3:163	hhh	BR(BR)	
POprc522_3:164	er	UH(UH)	er
POprc522_3:165	we	PP(PP)	we
POprc522_3:166	recognize	VVP(VVP)	recognize
POprc522_3:167	that	IN(IN)	that
POprc522_3:168	there	EX(EX)	there
POprc522_3:169	were	VBD(VBD)	be
POprc522_3:170	great	JJ(JJ)	great
POprc522_3:171	expectations	NNS(NNS)	expectation
POprc522_3:172	er	UH(UH)	er
POprc522_3:173	_0	PA(PA)	
POprc522_3:174	particularly	RB(RB)	particularly
POprc522_3:175	in	IN(IN)	in
POprc522_3:176	lebanon	NP(NP)	lebanon
POprc522_3:177	_0	PA(PA)	
POprc522_3:178	lebanon	NP(NP)	lebanon
POprc522_3:179	_0	PA(PA)	
POprc522_3:180	on	IN(IN)	on
POprc522_3:181	the	DT(DT)	the
POprc522_3:182	european	NP(NP)	european
POprc522_3:183	union	NP(NP)	union
POprc522_3:184	hh	BR(BR)	
POprc522_3:185	as	IN(IN)	as
POprc522_3:186	er	UH(UH)	er
POprc522_3:187	perhaps	RB(RB)	perhaps
POprc522_3:188	the	DT(DT)	the
POprc522_3:189	_0	PA(PA)	
POprc522_3:190	only	JJ(JJ)	only
POprc522_3:191	from	IN(IN)	from
POprc522_3:192	their	PP$(PP$)	they
POprc522_3:193	point	NN(NN)	point
POprc522_3:194	of	NN(NN)	of
POprc522_3:195	view	NN(NN)	view
POprc522_3:196	_0	PA(PA)	
POprc522_3:197	er	UH(UH)	er
POprc522_3:198	international	JJ(JJ)	international
POprc522_3:199	actor	NN(NN)	actor
POprc522_3:200	which	PRE(PRE)	which
POprc522_3:201	they	PP(PP)	they
POprc522_3:202	_0	PA(PA)	
POprc522_3:203	had	VHD(VHD)	have
POprc522_3:204	confidence	NN(NN)	confidence
POprc522_3:205	in	IN(IN)	in
POprc522_3:206	_0	PA(PA)	
POprc522_3:207	and	CC(CC)	and
POprc522_3:208	expecte-	XX(XX)	
POprc522_3:209	expect	VVP(VVP)	expect
POprc522_3:210	er	UH(UH)	er
POprc522_3:211	to	TO(TO)	to
POprc522_3:212	_0	PA(PA)	
POprc522_3:213	er	UH(UH)	er
POprc522_3:214	play	VV(VV)	play
POprc522_3:215	_0	PA(PA)	
POprc522_3:216	a	DT(DT)	a
POprc522_3:217	crucial	JJ(JJ)	crucial
POprc522_3:218	role	NN(NN)	role
POprc522_3:219	_0	PA(PA)	
POprc522_3:220	in	IN(IN)	in
POprc522_3:221	bringing	VVG(VVG)	bring
POprc522_3:222	an	DT(DT)	a
POprc522_3:223	end	NN(NN)	end
POprc522_3:224	_0	PA(PA)	
POprc522_3:225	to	IN(IN)	to
POprc522_3:226	the	DT(DT)	the
POprc522_3:227	_0	PA(PA)	
POprc522_3:228	hostilities	NNS(NNS)	hostility
POprc522_3:229	hh	BR(BR)	
POprc522_3:230	er	UH(UH)	er
POprc522_3:231	_0	PA(PA)	
POprc522_3:232	i	PP(PP)	i
POprc522_3:233	know	VVP(VVP)	know
POprc522_3:234	er	UH(UH)	er
POprc522_3:235	ooph	UH(UH)	ooph
POprc522_3:236	that	IN(IN)	that
POprc522_3:237	er	UH(UH)	er
POprc522_3:238	_0	PA(PA)	
POprc522_3:239	there	EX(EX)	there
