POwsd256_1:1	okay	RE(RE)	okay
POwsd256_1:2	we	PP(PP)	we
POwsd256_1:3	can	MD(MD)	can
POwsd256_1:4	start	VV(VV)	start
POwsd256_1:5	_5	PA(PA)	
POwsd256_1:6	good	JJ(JJ)	good
POwsd256_1:7	so	DM(DM)	so
POwsd256_1:8	this	DT(DT)	this
POwsd256_1:9	morning	NN(NN)	morning
POwsd256_1:10	was	VBD(VBD)	be
POwsd256_1:11	a	RB(RB)	a
POwsd256_1:12	_0	PA(PA)	
POwsd256_1:13	bit	RB(RB)	bit
POwsd256_1:14	longer	JJR(JJR)	long
POwsd256_1:15	than	IN(IN)	than
POwsd256_1:16	_0	PA(PA)	
POwsd256_1:17	yesterday	RB(RB)	yesterday
POwsd256_1:18	so	DM(DM)	so
POwsd256_1:19	er	UH(UH)	er
POwsd256_1:20	_0	PA(PA)	
POwsd256_1:21	lasting	VVG(VVG)	last
POwsd256_1:22	till	IN(IN)	till
POwsd256_1:23	er	UH(UH)	er
POwsd256_1:24	_1	PA(PA)	
POwsd256_1:25	quite	RB(RB)	quite
POwsd256_1:26	well	RB(RB)	well
POwsd256_1:27	into	IN(IN)	into
POwsd256_1:28	the	DT(DT)	the
POwsd256_1:29	afternoon	NN(NN)	afternoon
POwsd256_1:30	so	DM(DM)	so
POwsd256_1:31	we	PP(PP)	we
POwsd256_1:32	do	VVP(VVP)	do
POwsd256_1:33	n't	RB(RB)	not
POwsd256_1:34	have	VH(VH)	have
POwsd256_1:35	that	RB(RB)	that
POwsd256_1:36	much	JJ(JJ)	much
POwsd256_1:37	time	NN(NN)	time
POwsd256_1:38	left	RB(RB)	left
POwsd256_1:39	now	RB(RB)	now
POwsd256_1:40	_0	PA(PA)	
POwsd256_1:41	to	TO(TO)	to
POwsd256_1:42	er	UH(UH)	er
POwsd256_1:43	finish	VV(VV)	finish
POwsd256_1:44	our	PP$(PP$)	we
POwsd256_1:45	discussions	NNS(NNS)	discussion
POwsd256_1:46	it	PP(PP)	it
POwsd256_1:47	's	VBS(VBS)	be
POwsd256_1:48	in	IN(IN)	in
POwsd256_1:49	the	DT(DT)	the
POwsd256_1:50	working	VVG(NN)	work/working
POwsd256_1:51	group	NN(NN)	group
POwsd256_1:52	er	UH(UH)	er
POwsd256_1:53	and	CC(CC)	and
POwsd256_1:54	also	RB(RB)	also
POwsd256_1:55	the	DT(DT)	the
POwsd256_1:56	x	UNI(UNI)	
POwsd256_1:57	with	IN(IN)	with
POwsd256_1:58	_0	PA(PA)	
POwsd256_1:59	er	UH(UH)	er
POwsd256_1:60	_1	PA(PA)	
POwsd256_1:61	some	DT(DT)	some
POwsd256_1:62	er	UH(UH)	er
POwsd256_1:63	_0	PA(PA)	
POwsd256_1:64	recommendation	NN(NN)	recommendation
POwsd256_1:65	statements	NNS(NNS)	statement
POwsd256_1:66	and	CC(CC)	and
POwsd256_1:67	then	RB(RB)	then
POwsd256_1:68	go	VV(VV)	go
POwsd256_1:69	into	IN(IN)	into
POwsd256_1:70	er	UH(UH)	er
POwsd256_1:71	_0	PA(PA)	
POwsd256_1:72	the	DT(DT)	the
POwsd256_1:73	declaration	NN(NN)	declaration
POwsd256_1:74	that	IN(IN)	that
POwsd256_1:75	xxxx	UNI(UNI)	
POwsd256_1:76	tonight	RB(RB)	tonight
POwsd256_1:77	_0	PA(PA)	
POwsd256_1:78	erm	UH(UH)	erm
POwsd256_1:79	_1	PA(PA)	
POwsd256_1:80	the	DT(DT)	the
POwsd256_1:81	session	NN(NN)	session
POwsd256_1:82	so	DM(DM)	so
