PRcon534_1:1	wants	VVZ(VVZ)	want
PRcon534_1:2	to	TO(TO)	to
PRcon534_1:3	look	VV(VV)	look
PRcon534_1:4	at	IN(IN)	at
PRcon534_1:5	a	DT(DT)	a
PRcon534_1:6	hartogs	NP(NP)	hartogs
PRcon534_1:7	domain	NN(NN)	domain
PRcon534_1:8	there	RB(RB)	there
PRcon534_1:9	right	DM(DM)	right
PRcon534_1:10	we	PP(PP)	we
PRcon534_1:11	xx	UNI(UNI)	
PRcon534_1:12	is	VBZ(VBZ)	be
PRcon534_1:13	equal	JJ(JJ)	equal
PRcon534_1:14	to	IN(IN)	to
PRcon534_1:15	the	DT(DT)	the
PRcon534_1:16	_0	PA(PA)	
PRcon534_1:17	s_i	SYM(SYM)	s_i
PRcon534_1:18	to	IN(IN)	to
PRcon534_1:19	the	DT(DT)	the
PRcon534_1:20	_0	PA(PA)	

PRcon534_2:1	what	WP(WP)	what

PRcon534_3:1	right	DM(DM)	right
PRcon534_3:2	_1	PA(PA)	
PRcon534_3:3	and	CC(CC)	and
PRcon534_3:4	then	RB(RB)	then
PRcon534_3:5	immediately	RB(RB)	immediately
PRcon534_3:6	have	VH(VH)	have
PRcon534_3:7	the	DT(DT)	the
PRcon534_3:8	defining	VVG(NN)	define/defining
PRcon534_3:9	function	NN(NN)	function
PRcon534_3:10	_1	PA(PA)	

PRcon534_4:1	@@@@	LA(LA)	
PRcon534_4:2	har-	XX(XX)	
PRcon534_4:3	_0	PA(PA)	
PRcon534_4:4	-togs	XX(XX)	
PRcon534_4:5	domain	NN(NN)	domain
PRcon534_4:6	is	VBZ(VBZ)	be
PRcon534_4:7	so	RB(RB)	so
PRcon534_4:8	bad	JJ(JJ)	bad
PRcon534_4:9	_0	PA(PA)	

PRcon534_5:1	of	RB(RB)	of
PRcon534_5:2	course	RB(RB)	course
PRcon534_5:3	it	PP(PP)	it
PRcon534_5:4	was	VBD(VBD)	be
PRcon534_5:5	bad	JJ(JJ)	bad
PRcon534_5:6	yeah	RE(RE)	yeah
PRcon534_5:7	but	CC(CC)	but
PRcon534_5:8	er	UH(UH)	er
PRcon534_5:9	_2	PA(PA)	

PRcon534_6:1	@@	LA(LA)	

PRcon534_7:1	so	DM(DM)	so
PRcon534_7:2	you	PP(PP)	you
PRcon534_7:3	're	VBP(VHP)	be
PRcon534_7:4	been	VBN(VBN)	be
PRcon534_7:5	take	V(V)	take
PRcon534_7:6	those	DT(DT)	those
PRcon534_7:7	see	VV(VV)/VVP(VVP)	see
PRcon534_7:8	any	DT(DT)	any
PRcon534_7:9	to	IN(IN)	to
PRcon534_7:10	the	DT(DT)	the
PRcon534_7:11	norm	NN(NN)	norm
PRcon534_7:12	_1	PA(PA)	

PRcon534_8:1	@@@	LA(LA)	
PRcon534_8:2	_0	PA(PA)	

PRcon534_9:1	yeah	RE(RE)	yeah
PRcon534_9:2	_4	PA(PA)	

PRcon534_10:1	oow	UH(UH)	oow
PRcon534_10:2	_2	PA(PA)	

PRcon534_11:1	it	PP(PP)	it
PRcon534_11:2	was	VBD(VBD)	be
PRcon534_11:3	more	JJR(JJR)	more
PRcon534_11:4	than	IN(IN)	than
PRcon534_11:5	a	DT(DT)	a
PRcon534_11:6	year	NN(NN)	year
PRcon534_11:7	ago	RB(RB)	ago
PRcon534_11:8	i	PP(DM)	i
PRcon534_11:9	mean	VVP(DM)	mean
PRcon534_11:10	_1	PA(PA)	

PRcon534_12:1	so	DM(DM)	so
PRcon534_12:2	okay	RE(RE)	okay
PRcon534_12:3	let	VV(VV)	let
PRcon534_12:4	's	PP(PP)	we
PRcon534_12:5	er	UH(UH)	er

PRcon534_13:1	bu-	XX(XX)	
PRcon534_13:2	but	CC(CC)	but
PRcon534_13:3	i	PP(PP)	i
PRcon534_13:4	play	VVP(VVP)	play
PRcon534_13:5	for	IN(IN)	for
PRcon534_13:6	_0	PA(PA)	
PRcon534_13:7	so	DM(DM)	so
PRcon534_13:8	so	DM(DM)	so
PRcon534_13:9	the	DT(DT)	the
PRcon534_13:10	thing	NN(NN)	thing
PRcon534_13:11	is	VBZ(VBZ)	be
PRcon534_13:12	how	WRB(WRB)	how
PRcon534_13:13	do	VVP(VVP)	do
PRcon534_13:14	you	PP(PP)	you
PRcon534_13:15	construct	VV(VV)	construct
PRcon534_13:16	this	DT(DT)	this
PRcon534_13:17	swiss	NN(NN)	swiss
PRcon534_13:18	cheese	NN(NN)	cheese
PRcon534_13:19	_0	PA(PA)	
PRcon534_13:20	thingy	NN(NN)	thingy
PRcon534_13:21	right	DM(DM)	right
PRcon534_13:22	_1	PA(PA)	

PRcon534_14:1	in	IN(IN)	in
PRcon534_14:2	two	CD(CD)	two
PRcon534_14:3	dimension	NN(NNS)	dimension
