PRint597_1:1	may	MD(MD)	may
PRint597_1:2	i	PP(PP)	i
PRint597_1:3	disturb	VV(VV)	disturb
PRint597_1:4	you	PP(PP)	you
PRint597_1:5	_0	PA(PA)	
PRint597_1:6	x-	XX(XX)	
PRint597_1:7	_1	PA(PA)	

PRint597_2:1	sure	JJ(JJ)	sure
PRint597_2:2	why	WRB(WRB)	why
PRint597_2:3	not	RB(RB)	not
PRint597_2:4	_0	PA(PA)	

PRint597_3:1	sure	JJ(JJ)	sure
PRint597_3:2	why	WRB(WRB)	why
PRint597_3:3	not	RB(RB)	not
PRint597_3:4	_1	PA(PA)	
PRint597_3:5	my	PP$(PP$)	i
PRint597_3:6	name	NN(NN)	name
PRint597_3:7	is	VBZ(VBZ)	be
PRint597_3:8	_0	PA(PA)	
PRint597_3:9	a_[S1]	NP(NP)	
PRint597_3:10	a_[S1/last]	NP(NP)	
PRint597_3:11	_0	PA(PA)	
PRint597_3:12	i	PP(PP)	i
PRint597_3:13	'm	VBP(VBP)	be
PRint597_3:14	a	DT(DT)	a
PRint597_3:15	_0	PA(PA)	
PRint597_3:16	s-	XX(XX)	

PRint597_4:1	my	PP$(PP$)	i
PRint597_4:2	name	NN(NN)	name
PRint597_4:3	is	VBZ(VBZ)	be
PRint597_4:4	a_[S8]	NP(NP)	
PRint597_4:5	a_[S8/last]	NP(NP)	
PRint597_4:6	she	PP(PP)	she
PRint597_4:7	is	VBZ(VBZ)	be
PRint597_4:8	my	PP$(PP$)	i
PRint597_4:9	wife	NN(NN)	wife
PRint597_4:10	_0	PA(PA)	
PRint597_4:11	a_[S9]	NP(NP)	

PRint597_5:1	hi	FI(FI)	hi
PRint597_5:2	nice	JJ(JJ)	nice
PRint597_5:3	to	TO(TO)	to
PRint597_5:4	meet	VV(VV)	meet
PRint597_5:5	you	PP(PP)	you

PRint597_6:1	nice	JJ(JJ)	nice
PRint597_6:2	to	TO(TO)	to
PRint597_6:3	meet	VV(VV)	meet
PRint597_6:4	you	PP(PP)	you

PRint597_7:1	nice	JJ(JJ)	nice
PRint597_7:2	to	TO(TO)	to
PRint597_7:3	meet	VV(VV)	meet
PRint597_7:4	you	PP(PP)	you

PRint597_8:1	hh	BR(BR)	
PRint597_8:2	@@	LA(LA)	
PRint597_8:3	i-	XX(XX)	

PRint597_9:1	@@	LA(LA)	

PRint597_10:1	is	VBZ(VBZ)	be
PRint597_10:2	this	DT(DT)	this
PRint597_10:3	an	DT(DT)	a
PRint597_10:4	official	JJ(JJ)	official
PRint597_10:5	interview	NN(NN)	interview
PRint597_10:6	or	CC(CC)	or
PRint597_10:7	what	WP(WP)	what
PRint597_10:8	_0	PA(PA)	

PRint597_11:1	do	VVP(VVP)	do
PRint597_11:2	y-	XX(XX)	

PRint597_12:1	er	UH(UH)	er
PRint597_12:2	no	RE(RE)	no
PRint597_12:3	it	PP(PP)	it
PRint597_12:4	's	VBS(VBS)	be
PRint597_12:5	not	RB(RB)	not
PRint597_12:6	an	DT(DT)	a
PRint597_12:7	official	JJ(JJ)	official
PRint597_12:8	interview	NN(NN)	interview
PRint597_12:9	do	VVP(VVP)	do
PRint597_12:10	you	PP(PP)	you
PRint597_12:11	mind	VV(VV)	mind
PRint597_12:12	_1	PA(PA)	
PRint597_12:13	the	DT(DT)	the
PRint597_12:14	micropho-	XX(XX)	
PRint597_12:15	_0	PA(PA)	

PRint597_13:1	no	RE(RE)	no

PRint597_14:1	i	PP(PP)	i
PRint597_14:2	do	VVP(VVP)	do
PRint597_14:3	n't	RB(RB)	not
PRint597_14:4	mind	VV(VV)	mind

PRint597_15:1	no	RE(RE)	no
PRint597_15:2	i	PP(PP)	i
PRint597_15:3	just	RB(RB)	just
PRint597_15:4	tell	VVP(VVP)	tell
PRint597_15:5	you	PP(PP)	you
PRint597_15:6	what	WP(WP)	what
PRint597_15:7	i	PP(PP)	i
PRint597_15:8	do	VVP(VVP)	do
PRint597_15:9	_0	PA(PA)	

PRint597_16:1	er	UH(UH)	er
PRint597_16:2	the	DT(DT)	the
PRint597_16:3	_0	PA(PA)	
PRint597_16:4	organizer	NN(NN)	organizer
PRint597_16:5	has	VHZ(VHZ)	have
PRint597_16:6	been	VBN(VBN)	be
PRint597_16:7	so	RB(RB)	so
PRint597_16:8	_1	PA(PA)	
PRint597_16:9	kind	JJ(JJ)	kind
PRint597_16:10	as	IN(IN)	as
PRint597_16:11	to	TO(TO)	to

PRint597_17:1	x-	XX(XX)	
PRint597_17:2	to	TO(TO)	to

PRint597_18:1	let	VV(VV)	let
PRint597_18:2	us	PP(PP)	we

PRint597_19:1	to	TO(TO)	to
PRint597_19:2	invite	VV(VV)	invite
PRint597_19:3	you	PP(PP)	you
PRint597_19:4	and	CC(CC)	and
PRint597_19:5	to	TO(TO)	to
PRint597_19:6	have	VH(VH)	have

PRint597_20:1	invite	VV(VV)	invite
PRint597_20:2	us	PP(PP)	we

PRint597_21:1	@@	LA(LA)	

PRint597_22:1	x-	XX(XX)	

PRint597_23:1	so	DM(DM)	so
PRint597_23:2	_0	PA(PA)	
PRint597_23:3	such	PDT(PDT)	such
PRint597_23:4	a	DT(DT)	a
PRint597_23:5	big	JJ(JJ)	big
PRint597_23:6	amount	NN(NN)	amount
PRint597_23:7	of	IN(IN)	of
PRint597_23:8	er	UH(UH)	er

PRint597_24:1	@@	LA(LA)	
PRint597_24:2	hh	BR(BR)	

PRint597_25:1	@	LA(LA)	

PRint597_26:1	of	IN(IN)	of
PRint597_26:2	the	DT(DT)	the
PRint597_26:3	case	NN(NN)	case
PRint597_26:4	studies	NNS(NNS)	study

PRint597_27:1	i	PP(PP)	i
PRint597_27:2	thought	VVD(VVD)	think

PRint597_28:1	@@	LA(LA)	
PRint597_28:2	yeah	RE(RE)	yeah
PRint597_28:3	hh	BR(BR)	
PRint597_28:4	exactly	RB(RB)	exactly
PRint597_28:5	_0	PA(PA)	

PRint597_29:1	for	IN(IN)	for
PRint597_29:2	you	PP(PP)	you
PRint597_29:3	and	CC(CC)	and

PRint597_30:1	but	CC(CC)	but
PRint597_30:2	i	PP(PP)	i
